Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
Farmacia Sa.na.,"Via Di Vermicino, 563",00133,Roma,Roma (RM),Lazio,F/19826,14331961004
"Sede Farmaceutica N.846 ""Pietro Lusetti""",Via Della Giustiniana 154/d,00188,Roma,Roma (RM),Lazio,F/19835,14262291009
Farmacia La Nave S.n.c. Dei Dottori Morganti Chiara E Iacomelli Andrea,P.zza Sandro Pertini S.n.c.,00047,Marino,Roma (RM),Lazio,F/19838,14395691000
Farmacia Torrenova S.a.s. Della Dott.ssa Caterina Mattia,"Via Di Torrenova, 78",00133,Roma,Roma (RM),Lazio,F/19579,14211911004
Isola Sacra S.a.s. Di Leonella Angeli Bufalini,"Via Trincea Delle Frasche, 161",00054,Fiumicino,Roma (RM),Lazio,F/19593,14191931006
Farmacia Hermes Snc Dei Dottori Pisapia Ida E Fierro Ernesto,"Via Costantino, 16-18-20",00012,Guidonia montecelio,Roma (RM),Lazio,F/19724,14358061001
Farmacia Sant'Anna Dei Dott.ri Baldinelli Alessandra E Santarelli Federico S.n.c.,"Via A. Manzoni, 2",00011,Tivoli,Roma (RM),Lazio,F/19721,14240551003
Farmacia Montelarco S.n.c. Di Angela Andreina Maria Versaci E Debora Anfora,"Via Flaminia, Km 33,600",00068,Rignano flaminio,Roma (RM),Lazio,F/18468,14453831001
"Farmacia Gem Al Gesu' Operaio Dei Dottori Giuseppina Andreano, Mi Chele Incecchi Ed Elena Martines S.n.c.","Via Piave, 18 D/e/f",00015,Monterotondo,Roma (RM),Lazio,F/19459,14148881007
Farmacia Valle Santa S.n.c. Dei Dottori Casarella Vincenzo E Grimaldi Anna,"Via Di Boccea, 1056",00166,Roma,Roma (RM),Lazio,F/19467,14233681007
"Farmacia Porta Di Roma Snc Dei Dottori Ma Riapia Leggiero, Antonio Bellantoni E Salvatore Palmieri","Via Adolfo Celi, 65",00139,Roma,Roma (RM),Lazio,F/19468,14232461005
"Farmacia Infernetto Sas Delle Dottoresse Simona Goretti, A. Pizzuti E R. Pizzuti","Via Umberto Giordano, 93/a",00124,Roma,Roma (RM),Lazio,F/19469,14213651004
Farmacia Ss. Cosma E Damiano,Via Al Sesto Miglio 30/32,00189,Roma,Roma (RM),Lazio,F/19848,14251671005
Farmacia Cinque Miglia Sas Del Dr. Gaetano Mauro & C.,"Via Delle Cinque Miglia, Snc",00042,Anzio,Roma (RM),Lazio,F/19850,14429221006
Farmacia Armetta,Via Di Frascati 86,00078,Monte porzio catone,Roma (RM),Lazio,F/19851,14345381009
Farmacia Casal Del Marmo,Via Casal Del Marmo 201/203/205,00135,Roma,Roma (RM),Lazio,F/19872,14076491001
Farmacia San Martino,"Via San Martino, 221",00015,Monterotondo,Roma (RM),Lazio,F/19873,14509301009
"Farmacia Pantano S.n.c. Dei Dottori Daroui Reza, Hedayeti Hediehe Sarichelou Iran","Via Casilina, 24-28",00077,Montecompatri,Roma (RM),Lazio,F/19696,14262461008
Farmacia Dottori De Lillo Marco E De Lillo Paolo Arturo Snc,"Via Dei Mazzanti, 15",00148,Roma,Roma (RM),Lazio,F/19758,14088731006
Farmacia Guidonia,"Via Vittorio De Sica, 1",00012,Guidonia montecelio,Roma (RM),Lazio,F/19759,13968781008
"Farmacia Hermes S.n.c. Dei Dott.ri Lucia Minervini, Matilde Minervini E Rosario Musumeci",Via Di Casal Del Marmo 280,00135,Roma,Roma (RM),Lazio,F/19764,14285101003
Farmacia Torre Gaia S.n.c. Dei Dottori Stefano Carrino E Benito Paolantonio,Via Casilina 1585/b,00133,Roma,Roma (RM),Lazio,F/19775,14281711003
Farmacia Stazione,"Piazzale Scipione Matteuzzi, Snc",00053,Civitavecchia,Roma (RM),Lazio,F/19782,02700960582
Farmacia San Francesco S.n.c. Dei Dottori Bottoni Francesco E Ciancia Eleonora,"Via Nettunense, 228",00073,Castel gandolfo,Roma (RM),Lazio,F/19785,13948661007
Farmacia Statuario S.a.s. Della Dottoressa Rosa Luisi,"Via Squillace, 84,86 Ad Angolo Con Via Taurianova, 80, 82",00178,Roma,Roma (RM),Lazio,F/19787,14219651008
Farmacia Monte Caminetto S.a.s. Della Dottoressa Giorgia Botta,"Via Sacrofano Cassia, 5280",00060,Sacrofano,Roma (RM),Lazio,F/19821,14402991005
Farmacia Ramo D'Oro S.a.s. Di Tambone Francesco,Via Ramo D'Oro 9,00072,Ariccia,Roma (RM),Lazio,F/19822,14412591001
Farmacia Comunale Dott.d'Ortona Luca,"Via Giuseppe Garibaldi, 155",00076,Lariano,Roma (RM),Lazio,F/19823,14437691000
Farmacia Riace Del Dottor Roberto Splendiani & C. S.n.c.,"Via Anagnina, 470",00118,Roma,Roma (RM),Lazio,F/19479,14040591001
Farmacia Dei Velieri Snc,"Via Dei Velieri, 64-66",00121,Roma,Roma (RM),Lazio,F/19644,14165661001
Farmacia Messidoro S.n.c. Delle Dottoresse Daniela Mattiuzzo E Francesca Novarini,"Via Delle Messi D'Oro, 197",00158,Roma,Roma (RM),Lazio,F/19519,14205031009
Barberini Dr.i Gangemi Antonio E Rosa Snc,"Via A. Millevoi, 37",00143,Roma,Roma (RM),Lazio,F/18395,06096301004
Tioli Snc Dr.ssa Franca Aita E Dott. Andrea Babini,"Largo Brancaccio, 65/67",00184,Roma,Roma (RM),Lazio,F/9246,05418151006
Farmacia Parisi Dott. Alessandro,"Viale Vittorio Veneto, 100-102",00046,Grottaferrata,Roma (RM),Lazio,F/10031,02958900603
Farmacia Internazionale Snc Delle Dr.sse Flavia Giannini E Teresafabiola Miscioscia,"Viale Caduti Guerra Liberazione, 392",00128,Roma,Roma (RM),Lazio,F/19563,14184301001
Farmacia Silgre Della Dott.ssa Silvia Di Paolo & C. S.a.s.,"Via Siena, 6",00041,Albano laziale,Roma (RM),Lazio,F/19572,14286911004
Farmacia Fiume Giallo S.a.s.,"Via Fiume Giallo, 399/401",00144,Roma,Roma (RM),Lazio,F/19573,13905911007
"Farmacia Mezzocammino Snc Di Calabrese Giuseppe, Diego E Bordi Federica","Viale Gianluigi Bonelli, 84a/b/bi",00127,Roma,Roma (RM),Lazio,F/19574,14278851002
Farmacia Castel Di Leva Snc Delle Dr.sse Silvia Di Giammarino E Maria Lanotte,"Via Di Castel Di Leva, 263",00134,Roma,Roma (RM),Lazio,F/19498,14236161007
Farmacia Del Mare Dei Dottori Domenico D'Ambrosio E Elena Azzurro S.n.c.,"Via Di Torvaianica Alta, 23-25",00071,Pomezia,Roma (RM),Lazio,F/19499,13916741005
Farmacia Sacro Cuore S.n.c. Di Di Fraia Federica E Samperi Cristoforo,"Viale Marconi, 31",00042,Anzio,Roma (RM),Lazio,F/19489,14143311000
Armenio Fausto,"Via Parigi, 39",00055,Ladispoli,Roma (RM),Lazio,F/18019,09141751009
Mantoni Panimolle Della Dr.ssa Mantoni Paola E Del Dr.sergio Panimolle,"Via Dei Platani, 17 - 17/a",00013,Fonte nuova,Roma (RM),Lazio,F/17994,10880221006
Farmacia Assistenziale A.n.m.i.g.,"Lungotevere Castello, 2",00193,Roma,Roma (RM),Lazio,F/18075,02114911007
Pirillo Maria Cristina,"Via Landi, 57",00045,Genzano di roma,Roma (RM),Lazio,F/18013,04008360960
Lapucci Lorenzina,"Via Tiberina, 33",00065,Fiano romano,Roma (RM),Lazio,F/18053,06319231004
San Gaspare Del Bufalo Srl,"Via Roma, 23",00010,Marcellina,Roma (RM),Lazio,F/18317,10091791003
Farmacia Policlinico,"Via G.B. Morgagni, 30/C-30/D",00161,Roma,Roma (RM),Lazio,F/9099,08425831008
RE CLELIA,"Via Trionfale, 118",00195,Roma,Roma (RM),Lazio,F/9703,05868660589
LEODORI ROSARIA,"VIALE DEI PINI, 17",00030,Rocca santo stefano,Roma (RM),Lazio,F/9870,12921251000
GRIMALDI ENZO,"Viale Jonio, 235",00141,Roma,Roma (RM),Lazio,F/9163,02477800581
GUADAGNO ANGELO,"Via G. Curioni, 51/53",00157,Roma,Roma (RM),Lazio,F/9359,05708010581
GUARNACCI SNC DI LAURA GUARNACCI E GIULIA BARBIERI,"Via Flaminia, 5/7",00196,Roma,Roma (RM),Lazio,F/9165,10178441001
IACOVELLI SALVATORE,"Via Annia Regilla, 202",00178,Roma,Roma (RM),Lazio,F/9333,07419770586
TRE MADONNE,"Via Bertoloni, 5",00197,Roma,Roma (RM),Lazio,F/9229,12240221007
RESTAINO FELICE,"Piazza Aldo Moro, 15/16",00012,Guidonia montecelio,Roma (RM),Lazio,F/9905,00698771003
DEL LEONE SAS DI PONTECORVI ILARIA & C.,"Largo Beltramelli, 13 13/A",00157,Roma,Roma (RM),Lazio,F/9307,12524611006
ROANI SCIUTO ANDREINA,"Via Aurelia, 2835 (Km. 28)",00050,Fiumicino,Roma (RM),Lazio,F/9579,05587151001
ROMAGNOLI GIANNI,"Piazza Mazzini, 10",00030,Labico,Roma (RM),Lazio,F/9928,10178450580
SPINELLI MAURIZIO & C. SNC,"Via G. Ricci Curbastro, 3",00149,Roma,Roma (RM),Lazio,F/9566,10707381009
ROMANI ROBERTO,"Via Ettore Gabrielli, 43",00049,Velletri,Roma (RM),Lazio,F/9964,00447910589
SAN PIO DOTT.RISOLIMANDO PAOLINO SAS,"Via S. Bernadette, 55",00167,Roma,Roma (RM),Lazio,F/9681,12987941007
ROSSETTI SAS,"Via Maremmana Inferiore, 300",00012,Guidonia montecelio,Roma (RM),Lazio,F/9907,11993721007
ROSSI GIAMPIERO,"Via Edoardo Jenner, 109",00151,Roma,Roma (RM),Lazio,F/9616,09151300580
ROSSI GUENDALINA,"Viale Giulio Agricola, 96",00174,Roma,Roma (RM),Lazio,F/9343,08727940580
RUSSINO FRANCESCO,"Via Principe Eugenio, 53 - 55",00185,Roma,Roma (RM),Lazio,F/9270,06677401009
DE REMIGIS MAURIZIO LUCIANO,"Via Tiburtina, 608/D",00159,Roma,Roma (RM),Lazio,F/9367,13341481003
RUSSO LORETA,Viale Palmiro togliatti 944,00171,Roma,Roma (RM),Lazio,F/9294,01936510583
SABAUDIA DEL DR. MARCO MORI,"Via Sabaudia, 71",00171,Roma,Roma (RM),Lazio,F/9558,02151230444
SAGRIPANTI FRANCA,"Via Tuscolana, 1258",00174,Roma,Roma (RM),Lazio,F/9320,04970700581
SAN GIORGIO SNC,"Via di Macchia Saponara, 64/T",00125,Roma,Roma (RM),Lazio,F/9664,07029701005
FARMACIE SANASI GIUSSANO SAS DI SANASI ARMANDO CARMELO ANTONIO,"Via A. da Giussano, 40",00176,Roma,Roma (RM),Lazio,F/9474,11429971002
AXA MADONNETTA SAS DEL DR. RICCARDO SANSONI,"Via Cesare Maccari, 312",00125,Roma,Roma (RM),Lazio,F/17298,09258241000
SANTA RITA,"Viale XXI Aprile, 2e 2f",00162,Roma,Roma (RM),Lazio,F/9257,10844240589
SATULLI MARCO,"Corso Matteotti, 83/8",00041,Albano laziale,Roma (RM),Lazio,F/10024,04700991005
MORENA - DR. SACARNO SAS,"Via Stazione di Ciampino, 56-58",00118,Roma,Roma (RM),Lazio,F/9318,11496381002
PASSERINI NICOLA & C. SAS,"Via Cadorna, 31",00028,Subiaco,Roma (RM),Lazio,F/9865,13246871001
SEMPIONE SNC R. RINALDI E. RINALDI E F. SCARPELLINI,"Corso Sempione, 16",00141,Roma,Roma (RM),Lazio,F/9125,06645591006
SENATO,"Corso Rinascimento, 50",00186,Roma,Roma (RM),Lazio,F/9255,10772830583
SENESI DR. ALFREDO,"Via Col di Lana, 148/166",00043,Ciampino,Roma (RM),Lazio,F/10054,00182941005
LOMBARDI CHIARA,"Circonvallazione Ostiense, 142",00154,Roma,Roma (RM),Lazio,F/9461,13944501009
DI SIENA CINZIA,"Via Gino Capponi, 65",00179,Roma,Roma (RM),Lazio,F/9409,09483171006
PIGNATELLI FRANCESCO,"Via Aquila, snc",00060,Ponzano romano,Roma (RM),Lazio,F/9816,00922350574
SIMEONI ROBERTO,"Via Pio XII, 60",00033,Cave,Roma (RM),Lazio,F/9933,10374480589
SORRENTINO LUCIA,"Viale Rossini, 70/72",00198,Roma,Roma (RM),Lazio,F/9173,07097750587
