Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA,Direccion_completa
Farmacia Sa.na.,"Via Di Vermicino, 563",133,Roma,Roma (RM),Lazio,F/19826,14331961004,"Via Di Vermicino, 563, 00133 Roma, Italia"
"Sede Farmaceutica N.846 ""Pietro Lusetti""",Via Della Giustiniana 154/d,188,Roma,Roma (RM),Lazio,F/19835,14262291009,"Via Della Giustiniana 154/d, 00188 Roma, Italia"
Farmacia La Nave S.n.c. Dei Dottori Morganti Chiara E Iacomelli Andrea,P.zza Sandro Pertini S.n.c.,47,Marino,Roma (RM),Lazio,F/19838,14395691000,"P.zza Sandro Pertini S.n.c., 00047 Marino, Italia"
Farmacia Torrenova S.a.s. Della Dott.ssa Caterina Mattia,"Via Di Torrenova, 78",133,Roma,Roma (RM),Lazio,F/19579,14211911004,"Via Di Torrenova, 78, 00133 Roma, Italia"
Isola Sacra S.a.s. Di Leonella Angeli Bufalini,"Via Trincea Delle Frasche, 161",54,Fiumicino,Roma (RM),Lazio,F/19593,14191931006,"Via Trincea Delle Frasche, 161, 00054 Fiumicino, Italia"
Farmacia Hermes Snc Dei Dottori Pisapia Ida E Fierro Ernesto,"Via Costantino, 16-18-20",12,Guidonia montecelio,Roma (RM),Lazio,F/19724,14358061001,"Via Costantino, 16-18-20, 00012 Guidonia montecelio, Italia"
Farmacia Sant'Anna Dei Dott.ri Baldinelli Alessandra E Santarelli Federico S.n.c.,"Via A. Manzoni, 2",11,Tivoli,Roma (RM),Lazio,F/19721,14240551003,"Via A. Manzoni, 2, 00011 Tivoli, Italia"
Farmacia Montelarco S.n.c. Di Angela Andreina Maria Versaci E Debora Anfora,"Via Flaminia, Km 33,600",68,Rignano flaminio,Roma (RM),Lazio,F/18468,14453831001,"Via Flaminia, Km 33,600, 00068 Rignano flaminio, Italia"
"Farmacia Gem Al Gesu' Operaio Dei Dottori Giuseppina Andreano, Mi Chele Incecchi Ed Elena Martines S.n.c.","Via Piave, 18 D/e/f",15,Monterotondo,Roma (RM),Lazio,F/19459,14148881007,"Via Piave, 18 D/e/f, 00015 Monterotondo, Italia"
Farmacia Valle Santa S.n.c. Dei Dottori Casarella Vincenzo E Grimaldi Anna,"Via Di Boccea, 1056",166,Roma,Roma (RM),Lazio,F/19467,14233681007,"Via Di Boccea, 1056, 00166 Roma, Italia"
"Farmacia Porta Di Roma Snc Dei Dottori Ma Riapia Leggiero, Antonio Bellantoni E Salvatore Palmieri","Via Adolfo Celi, 65",139,Roma,Roma (RM),Lazio,F/19468,14232461005,"Via Adolfo Celi, 65, 00139 Roma, Italia"
"Farmacia Infernetto Sas Delle Dottoresse Simona Goretti, A. Pizzuti E R. Pizzuti","Via Umberto Giordano, 93/a",124,Roma,Roma (RM),Lazio,F/19469,14213651004,"Via Umberto Giordano, 93/a, 00124 Roma, Italia"
Farmacia Ss. Cosma E Damiano,Via Al Sesto Miglio 30/32,189,Roma,Roma (RM),Lazio,F/19848,14251671005,"Via Al Sesto Miglio 30/32, 00189 Roma, Italia"
Farmacia Cinque Miglia Sas Del Dr. Gaetano Mauro & C.,"Via Delle Cinque Miglia, Snc",42,Anzio,Roma (RM),Lazio,F/19850,14429221006,"Via Delle Cinque Miglia, Snc, 00042 Anzio, Italia"
Farmacia Armetta,Via Di Frascati 86,78,Monte porzio catone,Roma (RM),Lazio,F/19851,14345381009,"Via Di Frascati 86, 00078 Monte porzio catone, Italia"
Farmacia Casal Del Marmo,Via Casal Del Marmo 201/203/205,135,Roma,Roma (RM),Lazio,F/19872,14076491001,"Via Casal Del Marmo 201/203/205, 00135 Roma, Italia"
Farmacia San Martino,"Via San Martino, 221",15,Monterotondo,Roma (RM),Lazio,F/19873,14509301009,"Via San Martino, 221, 00015 Monterotondo, Italia"
"Farmacia Pantano S.n.c. Dei Dottori Daroui Reza, Hedayeti Hediehe Sarichelou Iran","Via Casilina, 24-28",77,Montecompatri,Roma (RM),Lazio,F/19696,14262461008,"Via Casilina, 24-28, 00077 Montecompatri, Italia"
Farmacia Dottori De Lillo Marco E De Lillo Paolo Arturo Snc,"Via Dei Mazzanti, 15",148,Roma,Roma (RM),Lazio,F/19758,14088731006,"Via Dei Mazzanti, 15, 00148 Roma, Italia"
Farmacia Guidonia,"Via Vittorio De Sica, 1",12,Guidonia montecelio,Roma (RM),Lazio,F/19759,13968781008,"Via Vittorio De Sica, 1, 00012 Guidonia montecelio, Italia"
"Farmacia Hermes S.n.c. Dei Dott.ri Lucia Minervini, Matilde Minervini E Rosario Musumeci",Via Di Casal Del Marmo 280,135,Roma,Roma (RM),Lazio,F/19764,14285101003,"Via Di Casal Del Marmo 280, 00135 Roma, Italia"
Farmacia Torre Gaia S.n.c. Dei Dottori Stefano Carrino E Benito Paolantonio,Via Casilina 1585/b,133,Roma,Roma (RM),Lazio,F/19775,14281711003,"Via Casilina 1585/b, 00133 Roma, Italia"
Farmacia Stazione,"Piazzale Scipione Matteuzzi, Snc",53,Civitavecchia,Roma (RM),Lazio,F/19782,02700960582,"Piazzale Scipione Matteuzzi, Snc, 00053 Civitavecchia, Italia"
Farmacia San Francesco S.n.c. Dei Dottori Bottoni Francesco E Ciancia Eleonora,"Via Nettunense, 228",73,Castel gandolfo,Roma (RM),Lazio,F/19785,13948661007,"Via Nettunense, 228, 00073 Castel gandolfo, Italia"
Farmacia Statuario S.a.s. Della Dottoressa Rosa Luisi,"Via Squillace, 84,86 Ad Angolo Con Via Taurianova, 80, 82",178,Roma,Roma (RM),Lazio,F/19787,14219651008,"Via Squillace, 84,86 Ad Angolo Con Via Taurianova, 80, 82, 00178 Roma, Italia"
Farmacia Monte Caminetto S.a.s. Della Dottoressa Giorgia Botta,"Via Sacrofano Cassia, 5280",60,Sacrofano,Roma (RM),Lazio,F/19821,14402991005,"Via Sacrofano Cassia, 5280, 00060 Sacrofano, Italia"
Farmacia Ramo D'Oro S.a.s. Di Tambone Francesco,Via Ramo D'Oro 9,72,Ariccia,Roma (RM),Lazio,F/19822,14412591001,"Via Ramo D'Oro 9, 00072 Ariccia, Italia"
Farmacia Comunale Dott.d'Ortona Luca,"Via Giuseppe Garibaldi, 155",76,Lariano,Roma (RM),Lazio,F/19823,14437691000,"Via Giuseppe Garibaldi, 155, 00076 Lariano, Italia"
Farmacia Riace Del Dottor Roberto Splendiani & C. S.n.c.,"Via Anagnina, 470",118,Roma,Roma (RM),Lazio,F/19479,14040591001,"Via Anagnina, 470, 00118 Roma, Italia"
Farmacia Dei Velieri Snc,"Via Dei Velieri, 64-66",121,Roma,Roma (RM),Lazio,F/19644,14165661001,"Via Dei Velieri, 64-66, 00121 Roma, Italia"
Farmacia Messidoro S.n.c. Delle Dottoresse Daniela Mattiuzzo E Francesca Novarini,"Via Delle Messi D'Oro, 197",158,Roma,Roma (RM),Lazio,F/19519,14205031009,"Via Delle Messi D'Oro, 197, 00158 Roma, Italia"
Barberini Dr.i Gangemi Antonio E Rosa Snc,"Via A. Millevoi, 37",143,Roma,Roma (RM),Lazio,F/18395,06096301004,"Via A. Millevoi, 37, 00143 Roma, Italia"
Tioli Snc Dr.ssa Franca Aita E Dott. Andrea Babini,"Largo Brancaccio, 65/67",184,Roma,Roma (RM),Lazio,F/9246,05418151006,"Largo Brancaccio, 65/67, 00184 Roma, Italia"
