Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA
"Farmacia Dedala S.n.c. Delle Dott.sse Derosa Simona, Plantone Daniela E La Manti","Via Della Repubblica, 18",20090,Vimodrone,Milano (MI),Lombardia,F/19656,09946220960
Farmacia Trieste - Dott.sse Daniela Berta E Paola Vianello S.n.c.,"Via Trieste, 24",20090,Buccinasco,Milano (MI),Lombardia,F/19661,09882030969
"Farmacia Borgo Est Snc Dei Dr.ri Francesco Alessio Cavarretta, Francesca Casale E Giuseppe Mungari",Via Enrico De Nicola Snc,20098,San giuliano milanese,Milano (MI),Lombardia,F/19636,09891620966
Farmacia Rocca,"Via Kennedy, 52/54",20014,Nerviano,Milano (MI),Lombardia,F/19637,09861400969
Farmacia Del Villaggio Snc Delle Dr.sse Liguori Marta E Negretti Anna,"Via Giuseppe Verdi, 34",20065,Inzago,Milano (MI),Lombardia,F/19715,09909570963
Farmacia Lucernate Snc,"Via Giulio Cesare, 15",20017,Rho,Milano (MI),Lombardia,F/19719,09913880960
Farmacia Tilane Snc Della Dr.ssa Rosanna Caputo & C.,"Via Don Dossetti, 5",20037,Paderno dugnano,Milano (MI),Lombardia,F/19673,09896520963
Farmacia Cicero S.n.c. Della Dr.ssa Liliana Cicero E C.,"Via San Girolamo Emiliani, 31",20013,Magenta,Milano (MI),Lombardia,F/19867,10015730962
Farmacia San Francesco S.n.c. Di Grappone Antonio & C.,Via Allea Comunale 24,20029,Turbigo,Milano (MI),Lombardia,F/19871,10022940968
FARMACIA SANT'ANNA S.R.L.,"Via Turati, 19",20010,Arluno,Milano (MI),Lombardia,F/20287,10423060960
Farmacia Errea 2.0 Snc,Via S. Massimo N. 53,20018,Sedriano,Milano (MI),Lombardia,F/19691,09959080962
Farmacia S. Stefano,"Via Silvio Pellico, 10",20088,Rosate,Milano (MI),Lombardia,F/19695,09913340965
Farmacia Villapia Di Agostino Esposito E Michele Donnarumma S.n.c,"Via Arluno, Angolo Via Bolzano, 2",20015,Parabiago,Milano (MI),Lombardia,F/19766,09925850969
Farmacia Di Badile Delle Dott.sse Gulli' Natalina E Scaffidi Calogera S.n.c.,"Via Vittorio Veneto, 14",20080,Zibido san giacomo,Milano (MI),Lombardia,F/19772,09992230962
Farmacia Sant'Anna Di Dellara Maria E De Consoli Valeria Snc,"Via Lonate Pozzolo, 43",20022,Castano primo,Milano (MI),Lombardia,F/19704,09873500962
Farmacia Nuova,"Via Torino, 19",20030,Senago,Milano (MI),Lombardia,F/19801,09979950962
Farmacia Saronnese Di Silvana Cosenza E Antonina Sarao',"Via Saronnese, 23",20025,Legnano,Milano (MI),Lombardia,F/19808,10018060961
Farmacia Bettolino,"Via Taormina, 1",20093,Cologno monzese,Milano (MI),Lombardia,F/19814,09940360960
Farmacia Sant'Andrea S.n.c.,"Via Milano, 60",20096,Pioltello,Milano (MI),Lombardia,F/19649,09949040969
Farmacia Rivera S.n.c. Di Rivera Emmanuel E C.,"Via Giacomo Matteotti, 9",20080,Ozzero,Milano (MI),Lombardia,F/3210,10332280964
Comunale Bubbiano Srl,"Via Trento, 2",20080,Bubbiano,Milano (MI),Lombardia,F/17057,09305000961
Dispensario Dr.ssa Pivello,Piazza Cavalieri Di Vittorio Veneto,20088,Vermezzo,Milano (MI),Lombardia,F/17657,04548020157
Farmacia Ripamartesana,"Viale Martesana, 75",20090,Vimodrone,Milano (MI),Lombardia,F/19688,09918740961
Farmacia Settimo,"Piazza Tre Martiri, 5",20019,Settimo milanese,Milano (MI),Lombardia,F/19689,09891990963
Comunale Di Vanzago Srl,"Via Sant'Isaia, 5",20010,Vanzago,Milano (MI),Lombardia,F/18323,06230160969
"Farmacia dell'Idroscalo S.n.c. dei Dottori Tornatora Francesca, Grande Gaetano e Maifrini Simona","Via Rivoltana, 31",20090,Segrate,Milano (MI),Lombardia,F/17663,09937280965
Dispensario Dr. Lombardi,,20088,Bubbiano,Milano (MI),Lombardia,F/17570,01975140185
FARMACIA DOTT. LOMBARDI STEFANO,"Via Matteotti, 22",20080,Besate,Milano (MI),Lombardia,F/3217,01975140185
FARMACIA CASTELLI S.N.C. DOTT.SSE GIORGIA PAVAN E DALILA PEDRETTI,"Piazza Pompeo Castelli, 14",20156,Milano,Milano (MI),Lombardia,F/2986,10151100962
COMUNALE N.2,"Via S.Carlo, 6",20090,Segrate,Milano (MI),Lombardia,F/3238,11992270154
COMUNALE N.1,"Via Delle Regioni, 36",20090,Segrate,Milano (MI),Lombardia,F/3242,11992270154
COMUNALE N.3,"Residenza Ponti Milano, 2",20090,Segrate,Milano (MI),Lombardia,F/3253,11992270154
Comunale N.4,"Via Borioli, 1/a-b",20090,Segrate,Milano (MI),Lombardia,F/3290,11992270154
FARMACIA GIUGLIANO DR. ANTONIETTA,"Via C. Sormani, 89",20094,Cusano milanino,Milano (MI),Lombardia,F/18064,05662790962
