Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA,Direccion_completa
"Farmacia Dedala S.n.c. Delle Dott.sse Derosa Simona, Plantone Daniela E La Manti","Via Della Repubblica, 18",20090,Vimodrone,Milano (MI),Lombardia,F/19656,9946220960,"Via Della Repubblica, 18, 20090 Vimodrone, Italia"
Farmacia Trieste - Dott.sse Daniela Berta E Paola Vianello S.n.c.,"Via Trieste, 24",20090,Buccinasco,Milano (MI),Lombardia,F/19661,9882030969,"Via Trieste, 24, 20090 Buccinasco, Italia"
"Farmacia Borgo Est Snc Dei Dr.ri Francesco Alessio Cavarretta, Francesca Casale E Giuseppe Mungari",Via Enrico De Nicola Snc,20098,San giuliano milanese,Milano (MI),Lombardia,F/19636,9891620966,"Via Enrico De Nicola Snc, 20098 San giuliano milanese, Italia"
Farmacia Rocca,"Via Kennedy, 52/54",20014,Nerviano,Milano (MI),Lombardia,F/19637,9861400969,"Via Kennedy, 52/54, 20014 Nerviano, Italia"
Farmacia Del Villaggio Snc Delle Dr.sse Liguori Marta E Negretti Anna,"Via Giuseppe Verdi, 34",20065,Inzago,Milano (MI),Lombardia,F/19715,9909570963,"Via Giuseppe Verdi, 34, 20065 Inzago, Italia"
Farmacia Lucernate Snc,"Via Giulio Cesare, 15",20017,Rho,Milano (MI),Lombardia,F/19719,9913880960,"Via Giulio Cesare, 15, 20017 Rho, Italia"
Farmacia Tilane Snc Della Dr.ssa Rosanna Caputo & C.,"Via Don Dossetti, 5",20037,Paderno dugnano,Milano (MI),Lombardia,F/19673,9896520963,"Via Don Dossetti, 5, 20037 Paderno dugnano, Italia"
Farmacia Cicero S.n.c. Della Dr.ssa Liliana Cicero E C.,"Via San Girolamo Emiliani, 31",20013,Magenta,Milano (MI),Lombardia,F/19867,10015730962,"Via San Girolamo Emiliani, 31, 20013 Magenta, Italia"
Farmacia San Francesco S.n.c. Di Grappone Antonio & C.,Via Allea Comunale 24,20029,Turbigo,Milano (MI),Lombardia,F/19871,10022940968,"Via Allea Comunale 24, 20029 Turbigo, Italia"
FARMACIA SANT'ANNA S.R.L.,"Via Turati, 19",20010,Arluno,Milano (MI),Lombardia,F/20287,10423060960,"Via Turati, 19, 20010 Arluno, Italia"
