Denominazione,Indirizzo,CAP,Comune,Provincia,Regione,Codice_univoco,Partita_IVA,Direccion_completa
Farmacia Valle Santa S.n.c. Dei Dottori Casarella Vincenzo E Grimaldi Anna,"Via Di Boccea, 1056",166,Roma,Roma (RM),Lazio,F/19467,14233681007,"Via Di Boccea, 1056, 00166 Roma, Italia"
"Farmacia Porta Di Roma Snc Dei Dottori Ma Riapia Leggiero, Antonio Bellantoni E Salvatore Palmieri","Via Adolfo Celi, 65",139,Roma,Roma (RM),Lazio,F/19468,14232461005,"Via Adolfo Celi, 65, 00139 Roma, Italia"
"Farmacia Infernetto Sas Delle Dottoresse Simona Goretti, A. Pizzuti E R. Pizzuti","Via Umberto Giordano, 93/a",124,Roma,Roma (RM),Lazio,F/19469,14213651004,"Via Umberto Giordano, 93/a, 00124 Roma, Italia"
Farmacia Sa.na.,"Via Di Vermicino, 563",133,Roma,Roma (RM),Lazio,F/19826,14331961004,"Via Di Vermicino, 563, 00133 Roma, Italia"
"Sede Farmaceutica N.846 ""Pietro Lusetti""",Via Della Giustiniana 154/d,188,Roma,Roma (RM),Lazio,F/19835,14262291009,"Via Della Giustiniana 154/d, 00188 Roma, Italia"
Farmacia Ss. Cosma E Damiano,Via Al Sesto Miglio 30/32,189,Roma,Roma (RM),Lazio,F/19848,14251671005,"Via Al Sesto Miglio 30/32, 00189 Roma, Italia"
Farmacia Casal Del Marmo,Via Casal Del Marmo 201/203/205,135,Roma,Roma (RM),Lazio,F/19872,14076491001,"Via Casal Del Marmo 201/203/205, 00135 Roma, Italia"
Farmacia Dottori De Lillo Marco E De Lillo Paolo Arturo Snc,"Via Dei Mazzanti, 15",148,Roma,Roma (RM),Lazio,F/19758,14088731006,"Via Dei Mazzanti, 15, 00148 Roma, Italia"
"Farmacia Hermes S.n.c. Dei Dott.ri Lucia Minervini, Matilde Minervini E Rosario Musumeci",Via Di Casal Del Marmo 280,135,Roma,Roma (RM),Lazio,F/19764,14285101003,"Via Di Casal Del Marmo 280, 00135 Roma, Italia"
Farmacia Torre Gaia S.n.c. Dei Dottori Stefano Carrino E Benito Paolantonio,Via Casilina 1585/b,133,Roma,Roma (RM),Lazio,F/19775,14281711003,"Via Casilina 1585/b, 00133 Roma, Italia"
Farmacia Statuario S.a.s. Della Dottoressa Rosa Luisi,"Via Squillace, 84,86 Ad Angolo Con Via Taurianova, 80, 82",178,Roma,Roma (RM),Lazio,F/19787,14219651008,"Via Squillace, 84,86 Ad Angolo Con Via Taurianova, 80, 82, 00178 Roma, Italia"
Farmacia Riace Del Dottor Roberto Splendiani & C. S.n.c.,"Via Anagnina, 470",118,Roma,Roma (RM),Lazio,F/19479,14040591001,"Via Anagnina, 470, 00118 Roma, Italia"
Farmacia Dei Velieri Snc,"Via Dei Velieri, 64-66",121,Roma,Roma (RM),Lazio,F/19644,14165661001,"Via Dei Velieri, 64-66, 00121 Roma, Italia"
Farmacia Messidoro S.n.c. Delle Dottoresse Daniela Mattiuzzo E Francesca Novarini,"Via Delle Messi D'Oro, 197",158,Roma,Roma (RM),Lazio,F/19519,14205031009,"Via Delle Messi D'Oro, 197, 00158 Roma, Italia"
Farmacia Torrenova S.a.s. Della Dott.ssa Caterina Mattia,"Via Di Torrenova, 78",133,Roma,Roma (RM),Lazio,F/19579,14211911004,"Via Di Torrenova, 78, 00133 Roma, Italia"
Tioli Snc Dr.ssa Franca Aita E Dott. Andrea Babini,"Largo Brancaccio, 65/67",184,Roma,Roma (RM),Lazio,F/9246,5418151006,"Largo Brancaccio, 65/67, 00184 Roma, Italia"
Farmacia Internazionale Snc Delle Dr.sse Flavia Giannini E Teresafabiola Miscioscia,"Viale Caduti Guerra Liberazione, 392",128,Roma,Roma (RM),Lazio,F/19563,14184301001,"Viale Caduti Guerra Liberazione, 392, 00128 Roma, Italia"
Farmacia Fiume Giallo S.a.s.,"Via Fiume Giallo, 399/401",144,Roma,Roma (RM),Lazio,F/19573,13905911007,"Via Fiume Giallo, 399/401, 00144 Roma, Italia"
